Id,norm.WT_SeedCoat_1,norm.WT_SeedCoat_2,norm.WT_SeedCoat_3,norm.WT_SeedCoat_4,norm.T_SeedCoat_1,norm.T_SeedCoat_2,norm.T_SeedCoat_3,norm.T_SeedCoat_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007300.1,16,16,12,12,0,0,0,35
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007300.2,0,0,0,0,0,0,4,9
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007400.1,135,30,64,39,101,51,46,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007500.1,57,228,171,97,244,250,234,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007500.2,162,0,31,93,0,0,0,8
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.1,0,10,62,0,0,9,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.10,112,3,47,25,0,0,9,128
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.11,0,3,39,0,0,6,7,98
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.12,0,101,0,133,0,98,109,228
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.3,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.4,40,19,0,0,0,0,0,83
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.5,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.6,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.7,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.8,0,0,0,0,0,0,0,36
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007600.9,0,0,0,18,216,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.1,0,0,1,6,0,0,0,2
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.2,30,4,0,17,35,10,13,41
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.3,0,12,13,0,35,0,11,76
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007700.4,0,0,5,0,0,0,0,2
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007800.1,225,127,123,141,62,130,66,790
vigun.IT97K-499-35.gnm1.ann1.Vigun01g007900.1,995,1224,1323,1151,5248,1919,1516,226
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008000.1,1,0,0,0,0,0,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008100.1,1404,221,478,912,3557,734,449,1014
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008200.1,0,0,0,0,3,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008500.1,11,30,3,1,6,39,1,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008600.1,1477,1807,1074,984,588,1588,1155,939
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008700.1,224,68,92,113,58,87,36,174
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008800.1,856,207,76,54,167,241,60,25
vigun.IT97K-499-35.gnm1.ann1.Vigun01g008900.1,268,364,191,287,139,373,103,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009000.1,10,10,4,7,13,32,0,163
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009100.1,279,228,300,331,341,360,293,296
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009200.3,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009300.1,620,707,339,324,163,402,294,233
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009400.1,10,3,2,11,35,0,19,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009500.1,215,85,68,67,91,125,83,221
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009500.2,0,64,66,85,203,0,58,54
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009600.1,371,399,499,579,592,281,429,219
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009600.2,0,5,5,0,0,42,33,53
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009700.1,2219,738,778,742,925,2086,675,7565
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009800.1,2641,903,781,781,1757,2410,869,5150
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009900.1,1486,1804,1248,1519,675,1760,1574,1642
vigun.IT97K-499-35.gnm1.ann1.Vigun01g009900.2,1619,2218,1514,1628,1033,1339,1819,1696
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.1,0,80,102,115,53,8,51,46
