Id,norm.WT_Embryo_1,norm.WT_Embryo_2,norm.WT_Embryo_3,norm.WT_Embryo_4,norm.T_Embryo_1,norm.T_Embryo_2,norm.T_Embryo_3,norm.T_Embryo_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011200.1,10965,19000,11041,10426,14142,17864,8215,5971
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011500.1,1,0,0,7,1,0,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011600.1,1,9,9,5,11,2,6,5
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011700.1,804,207,669,656,401,561,536,642
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011700.2,13,306,0,0,321,0,49,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011800.1,16,9,2,7,6,26,13,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012000.1,554,834,323,449,661,502,420,464
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012000.2,402,202,335,208,16,334,263,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012100.1,697,467,600,583,752,705,494,753
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012300.1,99,207,163,476,216,297,293,237
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012400.1,7,3,6,8,4,9,13,19
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012500.1,33,13,28,16,12,17,14,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012600.1,0,0,0,0,1,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.3,0,0,0,46,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.4,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.5,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.6,0,0,50,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.7,0,0,0,4,0,0,3,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.8,0,44,61,128,0,36,139,90
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012700.9,1,7,27,38,0,0,32,71
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012800.1,37,10,10,5,14,8,10,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012900.1,205,326,296,351,567,378,440,345
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013000.1,333,392,301,390,578,709,887,816
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.1,56,0,83,47,0,19,55,38
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.2,123,238,59,121,89,116,96,46
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.3,48,0,0,0,113,0,24,27
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.4,0,62,33,0,54,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013100.5,164,136,145,108,121,87,66,147
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013200.1,1541,2169,2153,1950,1745,1608,2473,2311
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013300.1,3,0,0,1,1,3,2,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013400.1,13,35,30,39,59,18,28,38
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013500.1,1,3,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013600.1,0,0,0,0,2,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013700.1,114,149,169,140,99,282,104,239
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013800.1,132,137,109,131,151,110,164,143
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.1,151,188,141,132,439,0,132,94
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.2,2,2,3,0,49,59,0,81
vigun.IT97K-499-35.gnm1.ann1.Vigun01g013900.3,417,298,474,540,375,388,438,571
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.1,27,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.2,0,0,0,0,0,21,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.3,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.4,6,0,53,17,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.5,0,0,49,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.6,0,0,0,0,33,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014000.7,0,47,0,74,0,0,19,28
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014100.1,2721,335,2756,2269,338,1166,210,999
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014100.2,87,156,82,86,61,43,44,54
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014200.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014200.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014300.1,5331,4035,3226,4043,6277,5038,3836,3945
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014400.1,146,226,163,188,231,237,202,187
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014500.1,28,56,36,28,66,17,45,55
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014600.1,263,87,202,254,69,146,202,212
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014600.2,37,28,42,75,36,29,44,49
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014700.1,0,0,6,1,8,0,3,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014800.1,24,0,0,0,0,15,11,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014800.2,0,19,18,10,22,6,0,4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g014900.1,18,9,9,10,3,26,5,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015000.1,104,25,60,73,23,76,23,27
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015100.1,1,3,0,1,0,0,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015200.1,38,5,0,2,0,7,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015400.1,221,293,256,289,380,185,334,285
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015500.1,13,8,4,30,15,9,14,20
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015600.1,2,1,2,0,4,11,2,0
